ward,year,item,category,location,cost
2,2012,Street Light Pole Painting,Lighting,ON 24 FROM S STATE ST (0 E) TO S INDIANA AV (200 E),4200
2,2012,Street Light Pole Painting,Lighting,ON PAULINA FROM W MADISON ST (0 N) TO W JACKSON BV (300 S),3600
2,2012,Street Light Pole Painting,Lighting,ON S STATE ST FROM W ROOSEVELT RD (1200 S) TO W 15 ST (1500 S),14100
2,2012,Street Light Pole Painting,Lighting,ON ADAMS FROM S MORGAN ST (1000 W) TO S GREEN ST (832 W),2400
2,2012,Street Light Pole Painting,Lighting,ON HARRISON FROM S OAKLEY BV (2300 W) TO S DAMEN AV (2000 W),12600
2,2012,Street Light Pole Painting,Lighting,ON VAN BUREN FROM S STATE ST (0 E) TO S CONGRESS PLAZA DR (131 E),8600
2,2012,Street Light Pole Painting,Lighting,ON MONROE FROM S MORGAN ST (1000 W) TO S PEORIA ST (900 W),2400
2,2012,Street Light Pole Painting,Lighting,ON PAULINA FROM W HARRISON ST (600 S) TO W POLK ST (800 S),3300
2,2012,Street Light Pole Painting,Lighting,ON S WOLCOTT AVE FROM W GRENSHAW ST (1120 S) TO W ROOSEVELT RD (1200 S),1200
2,2012,Street Light Pole Painting,Lighting,ON LAKE FROM N ALBANY AV (3100 W) TO N SACRAMENTO BV (3000 W),6000
2,2012,Street Light Pole Painting,Lighting,ON TAYLOR FROM S LOOMIS ST (1400 W) TO S RACINE AV (1200 W),7500
2,2012,Street Light Pole Painting,Lighting,ON W CONGRESS PKWY FROM W OGDEN AV (1875 W) TO S,6000
2,2012,Street Light Pole Painting,Lighting,ON ROOSEVELT FROM S ASHLAND AV (1600 W) TO S DAMEN AV (2000 W),24000
2,2012,Street Light Pole Painting,Lighting,ON CONGRESS FROM S MORGAN ST (1000 W) TO E EISENHOWER EXIT RP (1284 W),5700
2,2012,Street Light Pole Painting,Lighting,ON 32 FROM DR. MARTIN LUTHER KING JR. DR (358 E) TO S GILES AV (300 E),1500
2,2012,Street Light Pole Painting,Lighting,ON MAYPOLE FROM N OAKLEY BV (2300 W) TO N WESTERN AV (2400 W),2400
2,2012,Street Light Pole Painting,Lighting,ON S WOOD ST FROM W ROOSEVELT RD (1200 S) TO W TAYLOR ST (1000 S),1200
2,2012,Street Light Upgrade,Lighting,ON MONROE FROM S MORGAN ST (1000 W) TO S PEORIA ST (900 W),3200
2,2012,Street Light Upgrade,Lighting,ON PAULINA FROM W MADISON ST (0 N) TO W JACKSON BV (300 S),4000
2,2012,Street Light Upgrade,Lighting,ON S WOLCOTT AVE FROM W GRENSHAW ST (1120 S) TO W ROOSEVELT RD (1200 S),2400
2,2012,Street Light Upgrade,Lighting,ON ADAMS FROM S LEAVITT ST (2200 W) TO S SEELEY AV (2032 W),1750
2,2012,Street Light Upgrade,Lighting,ON ROOSEVELT FROM S LOOMIS ST (1400 W) TO S ASHLAND AV (1600 W),6000
2,2012,Street Light Upgrade,Lighting,317 S CAMPBELL AVE,350
2,2012,Street Light Upgrade,Lighting,201 S ASHLAND AVE,350
2,2012,Street Light Upgrade,Lighting,ON 11 FROM S STATE ST (0 E) TO S MICHIGAN AV (120 E),400
2,2012,Street Light Upgrade,Lighting,ON POLK FROM S STATE ST (0 E) TO S FINANCIAL PL (146 W),1200
2,2012,Street Light Upgrade,Lighting,ON S HOYNE AVE FROM W CONGRESS PW (500 S) TO W HARRISON ST (600 S),2400
2,2012,Street Light Upgrade,Lighting,ON PAULINA FROM W HARRISON ST (600 S) TO W POLK ST (800 S),4400
2,2012,Street Light Upgrade,Lighting,157 S ASHLAND AVE,350
2,2012,Street Light Upgrade,Lighting,ON S STATE ST FROM W ROOSEVELT RD (1200 S) TO W 15 ST (1500 S),18800
2,2012,Street Light Upgrade,Lighting,ON CANAL FROM W 14 PL (1440 S) TO W ROOSEVELT RD (1200 S),14000
2,2012,Street Light Upgrade,Lighting,ON ADAMS FROM S MORGAN ST (1000 W) TO S GREEN ST (832 W),3200
2,2012,Street Light Upgrade,Lighting,ON HERMITAGE FROM W TAYLOR ST (1000 S) TO W PERSHING RD (3900 S),3200
2,2012,Street Light Upgrade,Lighting,3550 S GILES AVE,350
2,2012,Street Light Upgrade,Lighting,ON BALBO FROM S STATE ST (0 E) TO S MICHIGAN AV (120 E),1600
2,2012,Street Light Upgrade,Lighting,ON GREEN FROM W ADAMS ST (200 S) TO W VAN BUREN ST (400 S),1600
2,2012,Street Light Upgrade,Lighting,ON CONGRESS FROM S MORGAN ST (1000 W) TO E EISENHOWER EXIT RP (1284 W),7600
2,2012,Street Light Upgrade,Lighting,ON VAN BUREN FROM S LEAVITT ST (2200 W) TO S SEELEY AV (2032 W),1750
2,2012,Street Light Upgrade,Lighting,ON HARRISON FROM S STATE ST (0 E) TO S WABASH AV (44 E),400
2,2012,Street Light Upgrade,Lighting,ON MAYPOLE FROM N OAKLEY BV (2300 W) TO N WESTERN AV (2400 W),2000
2,2012,Street Light Upgrade,Lighting,ON STATE FROM W HARRISON ST (600 S) TO W ROOSEVELT RD (1200 S),18000
2,2012,Street Light Upgrade,Lighting,ON S WOOD ST FROM W TAYLOR ST (1000 S) TO W ROOSEVELT RD (1200 S),1200
